INCD_NO,INCD_START,INCD_END,FIRE_NAME,FIRE_AR_HA,FIRE_TYPE,IGN_DATE,IGN_SEASON,IGN_CAUSE1,IGN_CAUSE2,SHAPE_AREA,SHAPE_LEN,AREA_PERC,INCD_START2,INCD_END2
301,"""1980-01-08T00:00:00.000Z""","""1980-01-13T00:00:00.000Z""",St-Johns 1 (FT),148.9804645,Bushfire,"""1980-01-08T00:00:00.000Z""",19791980,Accidental,Escape,1489804.645,5889.501238,0.014614638,1980-01-08T00:00:00.000Z,1980-01-13T00:00:00.000Z
310,"""1980-01-19T00:00:00.000Z""","""1980-01-21T00:00:00.000Z""",TO 54,11.72997281,Bushfire,"""1980-01-19T00:00:00.000Z""",19791980,Accidental,Escape,117299.7281,1570.476689,0.001150683,1980-01-19T00:00:00.000Z,1980-01-21T00:00:00.000Z
KR28,"""1980-03-01T00:00:00.000Z""","""1980-03-01T00:00:00.000Z""",Historical FH KR28,1.4767564,Planned Burn,"""1980-03-01T00:00:00.000Z""",19791980,Planned Burn,Planned burn,14767.56403,834.8841044,0.000144866,1980-03-01T00:00:00.000Z,1980-03-01T00:00:00.000Z
MG10,"""1980-03-01T00:00:00.000Z""","""1980-03-01T00:00:00.000Z""",Historical FH MG10,6.08751026,Planned Burn,"""1980-03-01T00:00:00.000Z""",19791980,Planned Burn,Planned burn,60875.10261,2047.308182,0.000597171,1980-03-01T00:00:00.000Z,1980-03-01T00:00:00.000Z
KR16,"""1980-03-01T00:00:00.000Z""","""1980-03-01T00:00:00.000Z""",Historical FH KR16,16.69175925,Planned Burn,"""1980-03-01T00:00:00.000Z""",19791980,Planned Burn,Planned burn,166917.5925,1620.356568,0.001637423,1980-03-01T00:00:00.000Z,1980-03-01T00:00:00.000Z
300,"""1980-09-08T00:00:00.000Z""","""1980-09-09T00:00:00.000Z""",henry1,31.65074401,Bushfire,"""1980-09-08T00:00:00.000Z""",19801981,Deliberate,Arson,316507.4401,2382.862966,0.003104865,1980-09-08T00:00:00.000Z,1980-09-09T00:00:00.000Z
200,"""1980-10-01T00:00:00.000Z""","""1980-10-02T00:00:00.000Z""",Pirates Bay 1 (FT),502.4083523,Bushfire,"""1980-10-01T00:00:00.000Z""",19801981,Deliberate,Arson,5024083.523,9103.210359,0.049285095,1980-10-01T00:00:00.000Z,1980-10-02T00:00:00.000Z
201,"""1980-11-16T00:00:00.000Z""","""1980-11-17T00:00:00.000Z""",Cathedral 1 (FT),85.0812615,Bushfire,"""1980-11-16T00:00:00.000Z""",19801981,Undetermined,Unknown,850812.615,4072.998474,0.008346275,1980-11-16T00:00:00.000Z,1980-11-17T00:00:00.000Z
204,"""1980-12-09T00:00:00.000Z""","""1980-12-09T00:00:00.000Z""",Mt Wedge 1 (FT),1.17660456,Bushfire,"""1980-12-09T00:00:00.000Z""",19801981,Undetermined,Unknown,11766.0456,390.4208269,0.000115422,1980-12-09T00:00:00.000Z,1980-12-09T00:00:00.000Z
203,"""1980-12-09T00:00:00.000Z""","""1980-12-11T00:00:00.000Z""",Mt Brown 1 (FT),51.83160894,Bushfire,"""1980-12-09T00:00:00.000Z""",19801981,Undetermined,Unknown,518316.0894,3283.27951,0.005084561,1980-12-09T00:00:00.000Z,1980-12-11T00:00:00.000Z
208,"""1980-12-11T00:00:00.000Z""","""1980-12-12T00:00:00.000Z""",Angus Rivulet 2 (FT),24.74198504,Bushfire,"""1980-12-11T00:00:00.000Z""",19801981,Undetermined,Unknown,247419.8504,1840.238268,0.002427131,1980-12-11T00:00:00.000Z,1980-12-12T00:00:00.000Z
205,"""1980-12-11T00:00:00.000Z""","""1980-12-12T00:00:00.000Z""",Dee Lagoon 1 (FT),44.51939484,Bushfire,"""1980-12-11T00:00:00.000Z""",19801981,Undetermined,Unknown,445193.9484,2640.374924,0.004367249,1980-12-11T00:00:00.000Z,1980-12-12T00:00:00.000Z
202,"""1980-12-07T00:00:00.000Z""","""1980-12-12T00:00:00.000Z""",lakekingwilliam2,470.2740714,Bushfire,"""1980-12-07T00:00:00.000Z""",19801981,Undetermined,Unknown,4702740.714,10259.36108,0.046132796,1980-12-07T00:00:00.000Z,1980-12-12T00:00:00.000Z
207,"""1980-12-23T00:00:00.000Z""","""1980-12-24T00:00:00.000Z""",2 canal 1 (FT),5.80730547,Bushfire,"""1980-12-23T00:00:00.000Z""",19801981,Undetermined,Unknown,58073.05469,865.144456,0.000569683,1980-12-23T00:00:00.000Z,1980-12-24T00:00:00.000Z
