INCD_NO,INCD_START,INCD_END,FIRE_NAME,FIRE_AR_HA,FIRE_TYPE,IGN_DATE,IGN_SEASON,IGN_CAUSE1,IGN_CAUSE2,SEVERITY,COMMENTS,SHAPE_AREA,SHAPE_LEN
205,1982/01/05 00:00:00+00,1982/01/06 00:00:00+00,Richardsons Road 1,144.23334602,Bushfire,1982/01/05 00:00:00+00,19811982,Deliberate,Arson,,,1442333.46019,6473.23244926
203,1982/09/08 00:00:00+00,1982/09/13 00:00:00+00,Long Creek 1,161.60147836,Bushfire,1982/09/08 00:00:00+00,19821983,Deliberate,Arson,,,1616014.78356,5917.55429266
217,1987/12/31 00:00:00+00,1988/01/02 00:00:00+00,Arthurs Peak 2,0.32491667,Bushfire,1987/12/31 00:00:00+00,19871988,Deliberate,Arson,,,3249.16674495,216.909565902
210,1983/12/20 00:00:00+00,1983/12/28 00:00:00+00,Mount Tonga,191.87112537,Bushfire,1983/12/20 00:00:00+00,19831984,Undetermined,Other,,Dummy Origin,1918711.25365,5652.88050062
214,1983/12/20 00:00:00+00,1983/12/21 00:00:00+00,Taranna 1,24.3747599,Bushfire,1983/12/20 00:00:00+00,19831984,Accidental,Escape,,,243747.598994,2203.73196593
206,1983/12/20 00:00:00+00,1983/12/26 00:00:00+00,Oakwood 1,193.06552863,Bushfire,1983/12/20 00:00:00+00,19831984,Accidental,Escape,,,1930655.28625,6158.38458257
202,1987/02/05 00:00:00+00,1987/02/08 00:00:00+00,Arthurs Peak 1,15.05041443,Bushfire,1987/02/05 00:00:00+00,19861987,Deliberate,Arson,,Dummy Origin,150504.144314,1735.22741506
201,1987/03/15 00:00:00+00,1987/03/15 00:00:00+00,Patersons Arch 1,1.01643848,Bushfire,1987/03/15 00:00:00+00,19861987,Undetermined,Unknown,,,10164.384807,651.275033795
204,1992/03/07 00:00:00+00,1992/03/11 00:00:00+00,Eaglehawk Bay,27.81607934,Bushfire,1992/03/07 00:00:00+00,19911992,Deliberate,Arson,,,278160.793376,2302.22360385
202,1994/12/29 00:00:00+00,1994/12/31 00:00:00+00,Osprey Head 1,2.55761002,Bushfire,1994/12/29 00:00:00+00,19941995,Undetermined,Unknown,,,25576.1001996,688.837043968
203,1994/02/25 00:00:00+00,1994/02/28 00:00:00+00,White Beach 1,86.14375667,Bushfire,1994/02/25 00:00:00+00,19931994,Accidental,Escape,,,861437.56674,5861.40487169
1400,1994/03/26 00:00:00+00,1994/03/29 00:00:00+00,Lake King William,179.60646973,Bushfire,1994/03/26 00:00:00+00,19931994,Undetermined,Undetermined cause,,,1796064.69728,8403.92311494
209,1994/11/19 00:00:00+00,1994/11/20 00:00:00+00,Signal Hill 2,189.73231065,Bushfire,1994/11/19 00:00:00+00,19941995,Accidental,Escape,,,1897323.1065,7267.52717958
204,1994/01/22 00:00:00+00,1994/01/27 00:00:00+00,Allans Creek 1,0.52622748,Bushfire,1994/01/22 00:00:00+00,19931994,Deliberate,Arson,,,5262.27484242,345.059730565
703,1997/01/05 00:00:00+00,1997/01/31 00:00:00+00,TA7 Balts Road,2.71759374,Bushfire,1997/01/05 00:00:00+00,19961997,Deliberate,Arson,,,27175.9374477,646.861985591
202,1998/11/04 00:00:00+00,1998/11/06 00:00:00+00,Cripps Creek,21.71244481,Bushfire,1998/11/04 00:00:00+00,19981999,Undetermined,Other,,,217124.448075,1825.28351933
185222,2011/07/31 00:00:00+00,2011/07/31 00:00:00+00,Big Lagoon,0.84500237,Bushfire,2011/07/31 00:00:00+00,20112012,Deliberate,Arson,,"Dummy map, source of fire unknown",8450.02369308,374.666567837
209,1997/12/21 00:00:00+00,1997/12/23 00:00:00+00,Buckland - Coarse Mar (FT),32.14492924,Bushfire,1997/12/21 00:00:00+00,19971998,Accidental,Escape,,,321449.292439,2502.96343841
212,1998/01/01 00:00:00+00,1998/01/04 00:00:00+00,Mt Dromedary (FT),34.76625711,Bushfire,1998/01/01 00:00:00+00,19971998,Undetermined,Other,,,347662.571141,2426.95518489
310,1998/01/13 00:00:00+00,1998/03/03 00:00:00+00,SY030 (FT),13.23925841,Bushfire,1998/01/13 00:00:00+00,19971998,Deliberate,Arson,,,132392.584095,1915.50266153
215,1998/01/14 00:00:00+00,1998/01/14 00:00:00+00,Nugent - Bare Hill (FT),67.41937987,Bushfire,1998/01/14 00:00:00+00,19971998,Undetermined,Unknown,,,674193.798686,3332.66657769
218,1998/01/17 00:00:00+00,1998/01/17 00:00:00+00,Osterley (FT),28.06671521,Bushfire,1998/01/17 00:00:00+00,19971998,Undetermined,Unknown,,,280667.152075,2719.37418932
222,1998/03/12 00:00:00+00,1998/03/16 00:00:00+00,U x Bridge / SX63 (FT),1834.7529923,Bushfire,1998/03/12 00:00:00+00,19971998,Accidental,Escape,,,18347529.923,19055.3155808
139575,2007/11/03 00:00:00+00,2007/11/08 00:00:00+00,Long Marsh,3.0575711,Bushfire,2007/11/03 00:00:00+00,20072008,Undetermined,Unknown,,,30575.7109631,980.332154598
176348,2010/10/29 00:00:00+00,2010/10/31 00:00:00+00,Hungry Flats Road,2.4785621,Bushfire,2010/10/29 00:00:00+00,20102011,Undetermined,Other,,"Tree fall across power line, TFS back burns in 6 spots",24785.6210449,1954.6231613
176613,2010/11/06 00:00:00+00,2010/11/06 00:00:00+00,Killarney Rd Bridgewater,0.02794158,Bushfire,2010/11/06 00:00:00+00,20102011,Deliberate,Arson,,,279.41583995,65.3295302017
307,1983/01/19 00:00:00+00,1983/01/24 00:00:00+00,Mt Little John 1 (FT),104.87589886,Bushfire,1983/01/19 00:00:00+00,19821983,Accidental,Escape,,,1048758.98855,4304.32986009
119424,2006/02/06 00:00:00+00,2006/02/06 00:00:00+00,Abel Bay,0.07291112,Bushfire,2006/02/05 00:00:00+00,20052006,Deliberate,Arson,,,729.111167035,113.594508859
119432,2006/02/06 00:00:00+00,2006/02/08 00:00:00+00,Sandy Point Road,0.56629938,Bushfire,2006/02/06 00:00:00+00,20052006,Deliberate,Arson,,,5662.99380634,503.790443906
193308,2012/03/30 00:00:00+00,2012/04/30 00:00:00+00,Bluff Hill Rd,81.93809585,Bushfire,2012/03/30 00:00:00+00,20112012,Accidental,Escape,,,819380.958474,6236.46534172
190800,2012/01/22 00:00:00+00,2012/01/27 00:00:00+00,Recherche Bay,1.30540911,Bushfire,2012/01/23 00:00:00+00,20112012,Accidental,Unattended/Abandoned campfire,,Escaped abandoned campfire,13054.0911271,576.54090228
177078,2010/11/20 00:00:00+00,2010/11/26 00:00:00+00,White Timber Road Lachlan,3.22850317,Bushfire,2010/11/20 00:00:00+00,20102011,Accidental,Escape,,,32285.0317112,1345.8555855
181106,2011/03/14 00:00:00+00,2011/03/18 00:00:00+00,Surf Road 7 Mile Beach #1,0.48277964,Bushfire,2011/03/14 00:00:00+00,20102011,Deliberate,Arson,,Suspected arson,4827.79639761,833.087943119
190995,2012/01/26 00:00:00+00,2012/01/27 00:00:00+00,Peron Dunes St Helens Point,0.0022232,Bushfire,2012/01/26 00:00:00+00,20112012,Accidental,Unattended/Abandoned campfire,,Abandoned campfire,22.232041155,18.9231064148
190962,2012/01/26 00:00:00+00,2012/01/26 00:00:00+00,Windmill Lagoon,0.17876544,Bushfire,2012/01/28 00:00:00+00,20112012,Deliberate,Arson,,,1787.65441502,166.686049606
192102,2012/02/25 00:00:00+00,2012/03/09 00:00:00+00,Meadowbank Road,5234.17711363,Bushfire,2012/02/25 00:00:00+00,20112012,Accidental,Accident,,Not yet confirmed boundary 28 Feb,52341771.1363,61644.7051795
192124,2012/02/25 00:00:00+00,2012/03/05 00:00:00+00,Conical Rocks,60.95035569,Bushfire,2012/02/25 00:00:00+00,20112012,Accidental,Accident,,Vehicle electrical sparks caused fire,609503.556877,5061.35334769
191776,2012/02/16 00:00:00+00,2012/02/17 00:00:00+00,Four Mile Beach Reserve Granville Harbour,0.42203687,Bushfire,2012/02/16 00:00:00+00,20112012,Deliberate,Arson,,,4220.368723,349.075265423
205,1989/11/24 00:00:00+00,1989/11/28 00:00:00+00,Cherry Tree Hill 1 (FT),175.60938617,Bushfire,1989/11/24 00:00:00+00,19891990,Accidental,Escape,,,1756093.8617,5814.77362339
206,1989/11/26 00:00:00+00,1989/11/29 00:00:00+00,Siphon Canal 1 (FT),14.23582871,Bushfire,1989/11/26 00:00:00+00,19891990,Accidental,Escape,,,142358.287094,1465.61685791
209,1989/12/19 00:00:00+00,1989/12/21 00:00:00+00,Nivelle Rivulet 1 (FT),127.19386411,Bushfire,1989/12/19 00:00:00+00,19891990,Deliberate,Arson,,,1271938.64115,5356.96174823
633,1990/01/10 00:00:00+00,1990/01/14 00:00:00+00,Pauls Hill 1 (FT),2.92570081,Bushfire,1990/01/10 00:00:00+00,19891990,Deliberate,Arson,,,29257.0080991,892.151972066
215,1990/03/01 00:00:00+00,1990/03/04 00:00:00+00,Ragged Basin 3 (FT),3.33874691,Bushfire,1990/03/01 00:00:00+00,19891990,Accidental,Accident,,,33387.469113,696.895420117
406,1990/03/24 00:00:00+00,1990/04/12 00:00:00+00,Lidgerwood Road 1 (FT),13.50184364,Bushfire,1990/03/24 00:00:00+00,19891990,Deliberate,Arson,,,135018.436436,1981.58177983
204,1994/12/07 00:00:00+00,1995/01/06 00:00:00+00,Baldy Hill 1 (FT),6822.94403721,Bushfire,1994/12/07 00:00:00+00,19941995,Accidental,Escape,,,68229440.3721,49459.3898605
219,1994/12/07 00:00:00+00,1994/12/08 00:00:00+00,Surveyors Marshes 1 (FT),16.65947016,Bushfire,1994/12/07 00:00:00+00,19941995,Undetermined,Other,,,166594.701588,1748.75709823
304,1987/10/27 00:00:00+00,1987/11/04 00:00:00+00,White Grass Ridge 1 (FT),581.38256888,Bushfire,1987/10/27 00:00:00+00,19871988,Accidental,Escape,,,5813825.68879,14721.0719418
219,1987/10/29 00:00:00+00,1987/10/30 00:00:00+00,Lyell Highway 1 (FT),2.00987352,Bushfire,1987/10/29 00:00:00+00,19871988,Deliberate,Arson,,,20098.7351748,795.939014597
221,1987/10/29 00:00:00+00,1987/11/02 00:00:00+00,Strawberry Hill 1 (FT),25.09035223,Bushfire,1987/10/29 00:00:00+00,19871988,Accidental,Escape,,,250903.522267,2197.30708232
120355,2006/03/04 00:00:00+00,2006/03/24 00:00:00+00,Mount Cameron,4395.29157209,Bushfire,2006/03/04 00:00:00+00,20052006,Deliberate,Arson,,,43952915.7209,32736.5636524
120420,2006/03/06 00:00:00+00,2006/03/09 00:00:00+00,Shag Bay,116.81986313,Bushfire,2006/03/06 00:00:00+00,20052006,Accidental,Accident,,Powerlines clashing together in strong wind,1168198.63127,5272.61712335
121495,2006/04/03 00:00:00+00,2006/04/03 00:00:00+00,Rosny Hill,0.03696402,Bushfire,2006/04/03 00:00:00+00,20052006,Deliberate,Arson,,,369.640200295,88.4305859807
630,1982/02/12 00:00:00+00,1982/03/05 00:00:00+00,Pine River 1 (FT),13647.91484654,Bushfire,1982/02/12 00:00:00+00,19811982,Deliberate,Arson,,,136479148.465,65448.0725417
150962,2008/10/07 00:00:00+00,2008/10/11 00:00:00+00,Tasman Hwy Orford,21.86390434,Bushfire,2008/10/08 00:00:00+00,20082009,Accidental,Escape,,Boundary map as at 8/10/08,218639.043421,4981.3666393
151093,2008/10/11 00:00:00+00,2008/10/11 00:00:00+00,Gardeners Road,0.10414637,Bushfire,2008/10/11 00:00:00+00,20082009,Undetermined,Undetermined cause,,,1041.46367491,138.059745917
151190,2008/10/13 00:00:00+00,2008/10/13 00:00:00+00,Medeas Cove CA,6.73850547,Bushfire,2008/10/13 00:00:00+00,20082009,Accidental,Accident,,,67385.0546544,1606.20443517
128068,2006/11/17 00:00:00+00,2006/11/20 00:00:00+00,"Holwell Rd, Beaconsfield",19.90730538,Bushfire,2006/11/17 00:00:00+00,20062007,Deliberate,Arson,,,199073.053814,2144.6382699
150910,2008/10/06 00:00:00+00,2008/10/06 00:00:00+00,Musselroe Tip,0.18056379,Bushfire,2008/10/06 00:00:00+00,20082009,Deliberate,Arson,,,1805.6378928,612.742928365
162815,2009/10/04 00:00:00+00,2009/10/04 00:00:00+00,Ocean Beach Rd,5.66724605,Bushfire,2009/10/04 00:00:00+00,20092010,Deliberate,Arson,,,56672.4605007,1203.30033648
131197,2007/02/04 00:00:00+00,2007/02/12 00:00:00+00,Eddystone Pt Rd,24.06281949,Bushfire,2007/02/04 00:00:00+00,20062007,Accidental,Accident,,Final boundary,240628.194904,2499.50953689
131474,2007/02/13 00:00:00+00,2007/02/13 00:00:00+00,Gardiner Point,0.98350758,Bushfire,2007/02/13 00:00:00+00,20062007,Undetermined,Other,,,9835.07580534,433.522763132
131537,2007/02/16 00:00:00+00,2007/03/09 00:00:00+00,Clennetts Tramway,2826.51386849,Bushfire,2007/02/15 00:00:00+00,20062007,Undetermined,Undetermined cause,,,28265138.6849,49999.0451036
308,1983/01/20 00:00:00+00,1983/01/25 00:00:00+00,Little Bluetier 2 (FT),219.45085679,Bushfire,1983/01/20 00:00:00+00,19821983,Accidental,Escape,,,2194508.56791,7465.93289627
216,1983/01/22 00:00:00+00,1983/01/26 00:00:00+00,Simpsons Ck 4 (FT),6.82624025,Bushfire,1983/01/22 00:00:00+00,19821983,Undetermined,Unknown,,,68262.402474,1039.74744031
621,1989/12/07 00:00:00+00,1989/12/26 00:00:00+00,Ragged Basin 2 (FT),766.67526934,Bushfire,1989/12/07 00:00:00+00,19891990,Accidental,Accident,,,7666752.69339,24447.136922
213,1990/11/06 00:00:00+00,1990/11/08 00:00:00+00,Tibbs Plain (FT),13.40534231,Bushfire,1990/11/06 00:00:00+00,19901991,Deliberate,Arson,,,134053.423075,1435.65154938
210,1990/12/05 00:00:00+00,1990/12/07 00:00:00+00,Hill of Blazes (FT),1626.59504783,Bushfire,1990/12/05 00:00:00+00,19901991,Accidental,Escape,,,16265950.4783,17660.6326275
209,1990/12/30 00:00:00+00,1990/12/31 00:00:00+00,Lake St Clair SF (FT),18.34831404,Bushfire,1990/12/30 00:00:00+00,19901991,Deliberate,Arson,,,183483.140402,1745.32394241
208,1991/01/03 00:00:00+00,1991/01/03 00:00:00+00,Russell Falls Ck (FT),25.72371426,Bushfire,1991/01/03 00:00:00+00,19901991,Natural,Lightning,,,257237.142597,2194.95450105
206,1991/01/11 00:00:00+00,1991/01/14 00:00:00+00,Dry Tree Gully (FT),1.51401779,Bushfire,1991/01/11 00:00:00+00,19901991,Accidental,Escape,,,15140.177936,453.303529557
209,1998/12/25 00:00:00+00,1999/01/09 00:00:00+00,Bradys 29 (FT),319.90023633,Bushfire,1998/12/25 00:00:00+00,19981999,Natural,Lightning,,,3199002.36328,10897.3895762
210,1998/12/26 00:00:00+00,1998/12/27 00:00:00+00,Lanes Tier (FT),1.32559572,Bushfire,1998/12/26 00:00:00+00,19981999,Natural,Lightning,,,13255.957186,408.287886103
213,1999/01/08 00:00:00+00,1999/01/09 00:00:00+00,Nive Hill (FT),2.0118503,Bushfire,1999/01/08 00:00:00+00,19981999,Deliberate,Arson,,,20118.5030078,503.147242733
214,1999/01/25 00:00:00+00,1999/01/28 00:00:00+00,B Station (FT),2.26760791,Bushfire,1999/01/25 00:00:00+00,19981999,Deliberate,Arson,,,22676.0791396,533.993826998
215,1999/01/26 00:00:00+00,1999/02/04 00:00:00+00,Robinsons Creek (FT),38.21529877,Bushfire,1999/01/26 00:00:00+00,19981999,Deliberate,Arson,,,382152.987739,2651.81645127
12,1999/02/09 00:00:00+00,1999/02/13 00:00:00+00,Glennons JV146A (FT),13.319792,Bushfire,1999/02/09 00:00:00+00,19981999,Deliberate,Arson,,,133197.920011,1791.4841075
312,1999/02/28 00:00:00+00,1999/03/02 00:00:00+00,SH086A Stag Hill (FT),1.07592518,Bushfire,1999/02/28 00:00:00+00,19981999,Deliberate,Arson,,,10759.2517803,375.13900465
13,1999/03/02 00:00:00+00,1999/03/07 00:00:00+00,Devil's Creek (FT),28.2482427,Bushfire,1999/03/02 00:00:00+00,19981999,Undetermined,Unknown,,,282482.427044,2277.70980657
203,1998/11/09 00:00:00+00,1998/11/12 00:00:00+00,Hungry Flat (FT),28.91300982,Bushfire,1998/11/09 00:00:00+00,19981999,Accidental,Escape,,,289130.098229,2871.95038048
204,1998/11/10 00:00:00+00,1998/11/12 00:00:00+00,Buckland (FT),18.26416179,Bushfire,1998/11/10 00:00:00+00,19981999,Undetermined,Unknown,,,182641.617858,1860.4373183
