,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
301,Accidental,,Accidental,,,,,Accidental,Undetermined,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Accidental,,,Undetermined,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,
KR16,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG10,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR28,Planned Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Deliberate,Accidental,Accidental,Accidental,,,Accidental,,Accidental,,,,,Deliberate,,,,Accidental,,,,,,,,,,,,,,,,,,,,,,,
200,Deliberate,Deliberate,Accidental,Accidental,Accidental,,Accidental,Accidental,Deliberate,Accidental,,,Accidental,,Deliberate,,,Accidental,,,Undetermined,Undetermined,Accidental,,,,,,,,,,,,,,,,,,
201,Undetermined,Deliberate,,,,,Accidental,Undetermined,Deliberate,Deliberate,,Deliberate,,Accidental,Deliberate,Deliberate,,,,Undetermined,Undetermined,,Accidental,,,,,,,,,,,,,,,,,,
202,Undetermined,Deliberate,Accidental,Undetermined,Undetermined,,Deliberate,Deliberate,,Accidental,,Accidental,,Undetermined,Undetermined,,,Undetermined,Undetermined,Undetermined,Accidental,Accidental,Deliberate,,,,,,,,,,,,,,,,,,
203,Undetermined,Deliberate,Deliberate,Accidental,,Undetermined,Accidental,,Deliberate,Accidental,,Accidental,,Deliberate,Undetermined,,,Accidental,Accidental,Accidental,Undetermined,,Undetermined,,,,,,,,,,,,,,,,,,
204,Undetermined,Undetermined,Undetermined,Accidental,,,,,Deliberate,Deliberate,,Deliberate,Undetermined,,Accidental,,,Undetermined,Undetermined,Undetermined,Undetermined,,Deliberate,,,,,,,,,,,,,,,,,,
205,Undetermined,,Accidental,Accidental,,,Accidental,,Deliberate,Accidental,,Deliberate,Deliberate,Deliberate,,,,Undetermined,,Deliberate,Deliberate,,Accidental,,,,,,,,,,,,,,,,,,
208,Undetermined,,Deliberate,Undetermined,,,,Deliberate,Deliberate,Deliberate,,Natural,,,Undetermined,,,,Undetermined,,Deliberate,Undetermined,,Deliberate,,,,,,,,,,,,,,,,,
206,Undetermined,,Accidental,Accidental,,,Deliberate,,Accidental,Accidental,,Accidental,,Deliberate,Deliberate,,,Undetermined,Undetermined,Undetermined,,Natural,Deliberate,,,,,,,,,,,,,,,,,,
207,Undetermined,,Undetermined,Deliberate,,,Accidental,,Deliberate,,,,Deliberate,Deliberate,Undetermined,,,Undetermined,Undetermined,Undetermined,,Undetermined,Undetermined,,,,,,,,,,,,,,,,,,
8,,Undetermined,,,,,,,,,,,,,Deliberate,,,Deliberate,,,,,Accidental,,,,,,,,,,,,,,,,,,
303,,Accidental,Undetermined,,,,Accidental,Accidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,Accidental,Accidental,,,,Undetermined,,Accidental,,,,,Deliberate,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,Accidental,Accidental,Accidental,,,,,Deliberate,Deliberate,Deliberate,,,,Accidental,,,Accidental,Natural,,Deliberate,Undetermined,,Deliberate,,,,,,,,,,,,,,,,,
